iter	Passed	Remaining
0	136	136428
1	137	68453
2	137	45764
3	138	34412
4	138	27606
5	139	23060
6	139	19825
7	140	17395
8	140	15506
9	141	13994
10	141	12759
11	142	11723
12	142	10847
13	143	10098
14	143	9448
15	144	8878
16	144	8376
17	145	7928
18	145	7527
19	146	7171
20	146	6850
21	147	6558
22	148	6288
23	148	6043
24	149	5815
25	149	5607
26	150	5412
27	150	5235
28	151	5067
29	151	4911
30	152	4765
31	152	4628
32	153	4497
33	154	4375
34	154	4262
35	155	4155
36	155	4052
37	156	3954
38	156	3862
39	157	3775
40	157	3690
41	158	3612
42	158	3536
43	159	3464
44	159	3394
45	160	3327
46	160	3263
47	161	3203
48	161	3144
49	162	3087
50	163	3033
51	163	2980
52	163	2930
53	164	2882
54	165	2835
55	165	2790
56	165	2746
57	166	2703
58	166	2662
59	167	2622
60	167	2583
61	168	2546
62	168	2510
63	169	2476
64	169	2444
65	170	2411
66	170	2379
67	171	2346
68	171	2315
69	172	2286
70	172	2258
71	173	2230
72	173	2204
73	174	2178
74	174	2152
75	175	2127
76	175	2104
77	176	2081
78	176	2058
79	177	2036
80	177	2014
81	178	1992
82	178	1972
83	179	1952
84	179	1930
85	179	1910
86	180	1890
87	180	1871
88	181	1853
89	181	1836
90	182	1820
91	182	1803
92	183	1786
93	183	1770
94	184	1754
95	184	1738
96	185	1723
97	185	1707
98	186	1693
99	186	1679
100	187	1664
101	187	1649
102	187	1636
103	188	1623
104	188	1610
105	189	1598
106	190	1585
107	190	1573
108	191	1561
109	191	1549
110	191	1537
111	192	1525
112	192	1514
113	193	1503
114	193	1492
115	194	1481
116	194	1471
117	195	1461
118	195	1450
119	196	1440
120	196	1430
121	197	1421
122	197	1409
123	198	1400
124	198	1391
125	199	1382
126	199	1373
127	200	1363
128	200	1355
129	201	1347
130	201	1338
131	202	1330
132	202	1322
133	203	1315
134	204	1307
135	204	1300
136	205	1292
137	205	1284
138	206	1277
139	206	1270
140	207	1263
141	207	1256
142	208	1249
143	209	1242
144	209	1235
145	210	1228
146	210	1221
147	211	1215
148	211	1208
149	212	1202
150	212	1195
151	213	1189
152	213	1183
153	214	1177
154	214	1171
155	215	1165
156	216	1159
157	216	1154
158	217	1149
159	217	1144
160	218	1138
161	219	1132
162	219	1127
163	220	1121
164	220	1116
165	221	1110
166	221	1105
167	222	1099
168	222	1094
169	223	1089
170	223	1084
171	224	1079
172	224	1074
173	225	1069
174	225	1064
175	226	1060
176	226	1055
177	227	1050
178	228	1045
179	228	1040
180	228	1035
181	229	1030
182	229	1025
183	230	1021
184	230	1016
185	231	1012
186	231	1008
187	232	1004
188	232	999
189	233	996
190	234	992
191	234	987
192	235	983
193	235	979
194	236	975
195	236	971
196	237	967
197	237	963
198	238	959
199	238	955
200	239	951
201	239	947
202	240	943
203	240	939
204	241	935
205	241	931
206	242	928
207	242	924
208	243	920
209	243	917
210	244	913
211	244	909
212	245	906
213	245	902
214	246	899
215	246	895
216	247	892
217	247	888
218	248	885
219	248	881
220	249	878
221	249	875
222	250	871
223	250	868
224	251	865
225	251	862
226	252	859
227	252	855
228	253	852
229	253	849
230	254	846
231	254	843
232	255	840
233	255	837
234	256	834
235	256	831
236	257	828
237	257	825
238	258	822
239	258	819
240	259	816
241	259	813
242	260	811
243	260	808
244	261	805
245	261	802
246	262	800
247	263	797
248	263	794
249	264	792
250	264	789
251	265	786
252	265	784
253	266	781
254	266	778
255	267	776
256	267	773
257	268	770
258	268	768
259	269	765
260	269	763
261	270	761
262	270	758
263	271	756
264	271	753
265	272	751
266	272	749
267	273	746
268	273	744
269	274	741
270	274	739
271	275	737
272	276	735
273	276	732
274	277	730
275	277	728
276	278	725
277	278	723
278	278	720
279	279	718
280	279	716
281	280	714
282	280	711
283	281	709
284	282	707
285	282	705
286	283	703
287	283	700
288	284	698
289	284	696
290	284	694
291	285	692
292	286	690
293	286	688
294	287	685
295	287	683
296	288	681
297	288	679
298	289	678
299	289	675
300	290	673
301	290	671
302	291	669
303	291	667
304	292	665
305	292	663
306	293	661
307	293	660
308	294	658
309	295	656
310	295	654
311	296	652
312	296	650
313	297	648
314	297	647
315	298	645
316	298	643
317	299	641
318	299	639
319	300	637
320	300	635
321	301	634
322	301	632
323	302	630
324	302	629
325	303	627
326	303	625
327	304	623
328	304	621
329	305	620
330	305	618
331	306	616
332	306	614
333	307	613
334	308	611
335	308	609
336	309	608
337	309	606
338	310	604
339	310	603
340	311	601
341	311	599
342	312	598
343	312	596
344	313	594
345	313	593
346	314	591
347	314	590
348	315	588
349	316	587
350	316	585
351	317	583
352	317	582
353	318	580
354	318	579
355	319	577
356	319	576
357	320	574
358	320	572
359	321	571
360	321	569
361	322	568
362	322	566
363	323	565
364	323	563
365	324	561
366	325	560
367	325	559
368	326	557
369	326	556
370	327	554
371	327	553
372	328	551
373	328	550
374	329	549
375	330	547
376	330	546
377	331	544
378	331	543
379	332	541
380	332	540
381	333	539
382	333	537
383	334	536
384	334	534
385	335	533
386	335	531
387	336	530
388	336	529
389	337	527
390	337	526
391	338	524
392	339	523
393	339	522
394	340	520
395	340	519
396	341	518
397	341	516
398	342	515
399	342	513
400	343	512
401	343	511
402	344	509
403	344	508
404	345	507
405	345	506
406	346	504
407	346	503
408	347	501
409	347	500
410	348	499
411	348	497
412	349	496
413	349	495
414	350	493
415	351	492
416	351	491
417	352	490
418	352	488
419	353	487
420	353	486
421	354	484
422	354	483
423	355	482
424	355	481
425	356	479
426	356	478
427	357	477
428	357	476
429	358	475
430	358	473
431	359	472
432	359	471
433	360	469
434	360	468
435	361	467
436	361	466
437	362	464
438	362	463
439	363	462
440	363	461
441	364	459
442	364	458
443	365	457
444	365	456
445	366	455
446	366	453
447	367	452
448	367	451
449	368	450
450	368	448
451	369	447
452	369	446
453	370	445
454	370	444
455	371	442
456	371	441
457	372	440
458	372	439
459	373	438
460	374	437
461	374	436
462	375	435
463	376	434
464	376	433
465	377	432
466	377	431
467	378	430
468	379	429
469	379	428
470	380	426
471	380	425
472	381	424
473	381	423
474	382	422
475	383	421
476	383	420
477	384	419
478	384	418
479	385	417
480	385	416
481	386	415
482	386	413
483	387	412
484	387	411
485	388	410
486	388	409
487	389	408
488	389	407
489	390	406
490	390	405
491	391	404
492	391	403
493	392	401
494	392	400
495	393	399
496	393	398
497	394	397
498	395	396
499	395	395
500	396	394
501	396	393
502	397	392
503	397	391
504	398	390
505	398	389
506	399	388
507	400	387
508	400	386
509	401	385
510	401	384
511	402	383
512	402	382
513	403	381
514	403	380
515	404	379
516	404	378
517	405	377
518	405	376
519	406	375
520	406	374
521	407	373
522	408	372
523	408	371
524	409	370
525	409	369
526	410	368
527	410	367
528	411	365
529	411	364
530	412	363
531	412	362
532	413	362
533	413	361
534	414	360
535	414	359
536	415	358
537	415	357
538	416	356
539	416	355
540	417	354
541	417	353
542	418	352
543	419	351
544	419	350
545	420	349
546	420	348
547	421	347
548	421	346
549	422	345
550	422	344
551	423	343
552	423	342
553	424	341
554	424	340
555	425	339
556	425	338
557	426	337
558	427	336
559	427	336
560	428	335
561	428	334
562	429	333
563	429	332
564	430	331
565	430	330
566	431	329
567	431	328
568	432	327
569	432	326
570	433	325
571	433	324
572	434	323
573	434	322
574	435	321
575	435	320
576	435	319
577	436	318
578	436	317
579	437	316
580	437	315
581	438	314
582	438	313
583	439	312
584	439	311
585	440	310
586	440	309
587	440	308
588	441	308
589	441	307
590	442	306
591	442	305
592	443	304
593	443	303
594	444	302
595	444	301
596	445	300
597	445	299
598	446	298
599	446	297
600	447	296
601	447	295
602	447	294
603	448	293
604	448	293
605	449	292
606	449	291
607	450	290
608	450	289
609	451	288
610	451	287
611	451	286
612	452	285
613	452	284
614	453	283
615	453	282
616	454	281
617	454	281
618	455	280
619	455	279
620	456	278
621	456	277
622	456	276
623	457	275
624	457	274
625	458	273
626	458	272
627	459	271
628	459	271
629	460	270
630	460	269
631	460	268
632	461	267
633	461	266
634	462	265
635	462	264
636	463	263
637	463	263
638	464	262
639	464	261
640	465	260
641	465	259
642	465	258
643	466	257
644	466	256
645	467	256
646	467	255
647	468	254
648	468	253
649	469	252
650	469	251
651	470	250
652	470	250
653	470	249
654	471	248
655	471	247
656	472	246
657	472	245
658	473	244
659	473	243
660	474	243
661	474	242
662	474	241
663	475	240
664	475	239
665	476	238
666	476	238
667	477	237
668	477	236
669	478	235
670	478	234
671	479	233
672	479	232
673	479	232
674	480	231
675	480	230
676	481	229
677	481	228
678	482	227
679	482	227
680	483	226
681	483	225
682	484	224
683	484	223
684	485	223
685	485	222
686	486	221
687	486	220
688	487	219
689	487	219
690	488	218
691	488	217
692	489	216
693	489	215
694	490	215
695	490	214
696	491	213
697	491	212
698	492	211
699	492	211
700	492	210
701	493	209
702	493	208
703	494	207
704	494	207
705	495	206
706	495	205
707	495	204
708	496	203
709	496	202
710	497	202
711	497	201
712	498	200
713	498	199
714	499	198
715	499	198
716	500	197
717	500	196
718	501	195
719	501	195
720	501	194
721	502	193
722	502	192
723	503	191
724	503	191
725	504	190
726	504	189
727	505	188
728	505	187
729	506	187
730	506	186
731	506	185
732	507	184
733	507	184
734	508	183
735	508	182
736	509	181
737	509	180
738	510	180
739	510	179
740	510	178
741	511	177
742	512	177
743	512	176
744	513	175
745	513	174
746	514	174
747	514	173
748	515	172
749	515	171
750	516	171
751	516	170
752	517	169
753	517	168
754	517	168
755	518	167
756	518	166
757	519	165
758	519	165
759	520	164
760	520	163
761	521	162
762	521	162
763	522	161
764	522	160
765	522	159
766	523	158
767	523	158
768	524	157
769	524	156
770	525	155
771	525	155
772	526	154
