iter	Passed	Remaining
0	137	137452
1	138	68926
2	138	46100
3	139	34655
4	139	27803
5	140	23239
6	140	19979
7	141	17521
8	141	15611
9	142	14082
10	142	12844
11	143	11805
12	143	10926
13	144	10171
14	144	9515
15	145	8942
16	145	8435
17	146	7985
18	146	7583
19	147	7219
20	147	6891
21	148	6591
22	148	6324
23	149	6084
24	150	5857
25	150	5647
26	151	5453
27	151	5273
28	152	5104
29	153	4947
30	153	4798
31	154	4660
32	154	4528
33	155	4406
34	155	4298
35	156	4190
36	157	4089
37	157	3991
38	158	3897
39	158	3807
40	159	3722
41	159	3641
42	160	3563
43	160	3490
44	161	3421
45	161	3357
46	162	3302
47	163	3241
48	163	3182
49	164	3124
50	164	3070
51	165	3016
52	165	2964
53	166	2915
54	166	2867
55	167	2822
56	167	2778
57	168	2737
58	169	2696
59	169	2656
60	170	2617
61	170	2580
62	171	2544
63	171	2509
64	172	2474
65	172	2441
66	172	2408
67	173	2379
68	174	2350
69	174	2321
70	175	2293
71	175	2264
72	176	2237
73	176	2211
74	177	2186
75	177	2162
76	178	2139
77	178	2114
78	179	2092
79	180	2070
80	180	2048
81	181	2027
82	181	2003
83	181	1984
84	182	1963
85	182	1944
86	183	1925
87	183	1906
88	184	1888
89	185	1870
90	185	1853
91	186	1836
92	186	1820
93	187	1804
94	187	1788
95	188	1773
96	188	1758
97	189	1743
98	189	1728
99	190	1713
100	190	1699
101	191	1685
102	192	1673
103	192	1660
104	193	1647
105	193	1634
106	194	1621
107	194	1609
108	195	1596
109	195	1584
110	196	1571
111	196	1559
112	197	1547
113	197	1536
114	198	1525
115	198	1514
116	199	1502
117	199	1492
118	200	1481
119	200	1472
120	201	1462
121	201	1451
122	202	1441
123	202	1431
124	203	1421
125	203	1411
126	203	1401
127	204	1392
128	205	1384
129	205	1376
130	206	1367
131	206	1358
132	207	1349
133	207	1341
134	208	1332
135	208	1324
136	208	1315
137	209	1308
138	209	1300
139	210	1292
140	210	1285
141	211	1277
142	211	1270
143	212	1263
144	213	1256
145	213	1249
146	214	1242
147	214	1235
148	215	1228
149	215	1221
150	216	1214
151	216	1208
152	217	1202
153	217	1196
154	218	1189
155	218	1183
156	219	1177
157	219	1171
158	220	1165
159	220	1159
160	221	1152
161	221	1146
162	222	1140
163	222	1134
164	223	1129
165	223	1124
166	224	1118
167	224	1113
168	225	1107
169	225	1102
170	226	1097
171	226	1092
172	227	1087
173	227	1082
174	228	1077
175	228	1072
176	229	1067
177	230	1062
178	230	1058
179	231	1053
180	231	1048
181	232	1044
182	232	1039
183	233	1035
184	233	1030
185	234	1025
186	234	1021
187	235	1017
188	236	1013
189	236	1009
190	237	1005
191	237	1001
192	238	996
193	238	992
194	239	988
195	239	984
196	240	980
197	240	975
198	241	971
199	241	967
200	242	964
201	243	960
202	243	956
203	244	952
204	244	948
205	245	944
206	245	941
207	246	937
208	246	933
209	247	930
210	247	926
211	248	924
212	249	920
213	249	917
214	250	913
215	250	910
216	251	906
217	251	903
218	252	899
219	252	896
220	253	892
221	253	889
222	254	886
223	255	883
224	255	880
225	256	877
226	256	874
227	257	871
228	257	868
229	258	865
230	258	862
231	259	859
232	260	856
233	260	853
234	261	852
235	262	849
236	263	846
237	263	844
238	264	841
239	264	838
240	265	835
241	265	832
242	266	829
243	266	827
244	267	824
245	268	822
246	268	819
247	269	816
248	269	813
249	270	811
250	270	808
251	271	806
252	272	803
253	272	801
254	273	798
255	273	796
256	274	793
257	275	791
258	275	789
259	276	786
260	276	784
261	277	781
262	278	779
263	278	776
264	279	774
265	279	771
266	280	769
267	280	767
268	281	764
269	281	762
270	282	759
271	282	757
272	283	755
273	284	752
274	284	750
275	284	747
276	285	745
277	286	742
278	286	740
279	287	738
280	287	736
281	288	733
282	288	731
283	289	729
284	290	727
285	290	725
286	291	723
287	291	721
288	292	718
289	292	716
290	293	714
291	293	712
292	294	710
293	294	708
294	295	706
295	296	704
296	296	702
297	297	700
298	297	698
299	298	696
300	299	694
301	299	692
302	300	690
303	300	688
304	301	686
305	301	684
306	302	682
307	302	680
308	303	678
309	303	676
310	304	674
311	305	672
312	305	670
313	305	668
314	306	666
315	306	664
316	307	662
317	307	660
318	308	658
319	308	656
320	309	654
321	309	652
322	310	650
323	310	648
324	311	646
325	311	644
326	312	642
327	312	640
328	313	638
329	313	636
330	314	634
331	314	632
332	315	630
333	315	629
334	315	627
335	316	625
336	316	623
337	317	621
338	318	620
339	318	618
340	319	616
341	319	614
342	320	612
343	320	611
344	320	609
345	321	607
346	321	605
347	322	604
348	322	602
349	323	600
350	323	598
351	324	597
352	324	595
353	325	593
354	325	591
355	326	590
356	326	588
357	327	586
358	327	585
359	328	583
360	328	581
361	329	580
362	329	578
363	330	576
364	330	575
365	331	573
366	331	572
367	332	570
368	332	568
369	333	567
370	333	565
371	333	563
372	334	562
373	334	560
374	335	559
375	336	557
376	336	556
377	337	554
378	337	553
379	338	551
380	338	549
381	338	548
382	339	546
383	339	545
384	340	543
385	340	542
386	341	540
387	342	539
388	342	538
389	343	536
390	343	535
391	344	533
392	344	532
393	345	531
394	345	529
395	346	528
396	346	526
397	347	525
398	347	524
399	348	522
400	349	521
401	349	520
402	350	518
403	350	517
404	351	515
405	351	514
406	351	512
407	352	511
408	353	510
409	353	508
410	353	507
411	354	505
412	355	504
413	355	503
414	356	501
415	356	500
416	356	499
417	357	497
418	357	496
419	358	494
420	358	493
421	359	492
422	359	490
423	360	489
424	360	488
425	361	486
426	361	485
427	362	484
428	362	483
429	363	481
430	363	480
431	364	479
432	364	477
433	365	476
434	365	475
435	366	474
436	367	472
437	367	471
438	367	470
439	368	468
440	368	467
441	369	466
442	369	465
443	370	463
444	371	462
445	371	461
446	371	460
447	372	458
448	372	457
449	373	456
450	373	455
451	374	454
452	375	452
453	375	451
454	376	450
455	376	449
456	377	448
457	377	447
458	378	445
459	379	444
460	379	443
461	380	442
462	380	441
463	381	440
464	381	439
465	382	438
466	382	437
467	383	436
468	384	434
469	384	433
470	385	432
471	389	435
472	389	434
473	390	433
474	390	431
475	391	430
476	391	429
477	392	428
478	392	427
479	393	426
480	393	424
481	394	423
482	394	422
483	395	421
484	395	420
485	396	419
486	396	417
487	397	416
488	397	415
489	398	414
490	399	413
491	399	412
492	399	411
493	400	410
494	401	409
495	401	407
496	401	406
497	402	405
498	402	404
499	403	403
500	403	402
501	404	401
502	405	400
503	405	399
504	406	398
505	406	396
506	407	395
507	407	394
508	408	393
509	408	392
510	409	391
511	409	390
512	410	389
513	410	388
514	411	387
515	411	386
516	412	385
517	412	384
518	413	383
519	413	381
520	414	380
521	414	379
